,title,desciption,url,date
59,Michigan will release names of schools connected to <b>COVID-19</b> <b>outbreaks</b>,"Last week, local health departments identified 93 new <b>outbreaks</b> of <b>COVID-19</b>, the disease caused by the ... agreed on a legislative package that gave <b>school</b> districts the flexibility to decide ...",https://www.freep.com/story/news/local/michigan/2020/09/02/michigan-schools-coronavirus-outbreaks-covid-19/5693590002/,2020-09-03T02:36:00.0000000Z
60,Colleges and universities work to control <b>outbreaks</b> as a new <b>school</b> year starts amid coronavirus,Video above: Pandemic teaching college students life lessonsA return to campus for the new academic year has colleges and universities struggling to both contain <b>outbreaks</b> of <b>COVID-19</b> and enforce ...,https://www.kcra.com/article/colleges-universities-work-to-control-outbreaks-as-a-new-school-year-starts-amid-coronavirus/33842940,2020-08-30T18:11:00.0000000Z
61,NM universities avoid large <b>COVID-19</b> <b>outbreaks</b> at semester’s start,New Mexico’s biggest universities have avoided large <b>COVID-19</b> <b>outbreaks</b> through ... spread of coronavirus. The <b>University</b> of New Mexico has had six cases since <b>school</b> reopened on Aug. 17.,https://www.abqjournal.com/1492853/nm-universities-avoid-large-covid19-outbreaks-at-semesters-start.html,2020-09-02T00:00:00.0000000Z
62,The <b>University</b> of Arizona says it caught a dorm’s <b>covid-19</b> <b>outbreak</b> before it started. Its secret weapon: Poop.,"As 5,000 students prepared for move-in day at the <b>University</b> ... a sizable <b>outbreak</b> on campus. When a wastewater sample from one dorm came back positive this week, the <b>school</b> quickly tested ...",https://www.washingtonpost.com/nation/2020/08/28/arizona-coronavirus-wastewater-testing/,2020-08-30T05:19:00.0000000Z
63,Gov. Cuomo Deploys SWAT Team to SUNY Oneonta to Contain <b>COVID-19</b> <b>Outbreak</b>,"SUNY Oneonta&#39;s Incoming Chancellor, Jim Malatras said the <b>school</b> ... <b>COVID 19</b> reached 105, representing 3% of the faculty, staff, and students who are on campus and using campus facilities ...",https://www.insideedition.com/gov-cuomo-deploys-swat-team-to-suny-oneonta-to-contain-covid-19-outbreak-61577,2020-08-31T19:47:00.0000000Z
64,Nearly 50 <b>University</b> of Wyoming students quarantined after off-campus gatherings result in <b>COVID-19</b> spread,The <b>school</b>’s Board of Trustees approved a <b>COVID-19</b> contingency ... days during which <b>university</b> leaders would collect more information on the state of the <b>outbreak</b>. During those five days ...,https://trib.com/news/state-and-regional/govt-and-politics/education/nearly-50-university-of-wyoming-students-quarantined-after-off-campus-gatherings-result-in-covid-19/article_b278991a-c904-510b-a4cd-c11dd7ccd0ec.html,2020-09-02T14:33:00.0000000Z
65,"Furman <b>University</b> suspends fraternity after parties spread <b>COVID-19</b> to guests, officials say","NEARLY 60% HAVE TESTED POSITIVE FOR <b>COVID-19</b>. THE <b>SCHOOL</b> SAYS THOSE PEOPLE ARE IN QUARANTINE. THEY SAID, &quot;AN <b>OUTBREAK</b> THAT SURPASSES ... A PROBATIONARY PE Furman <b>University</b> on Wednesday announced ...",https://www.wyff4.com/article/furman-university-suspends-kappa-alpha-fraternity-after-parties-spread-covid-19-to-guests-officials-say/33903255,2020-09-02T21:06:00.0000000Z
66,"5 things to know today: Oil regulations, Alumni security, <b>COVID-19</b> <b>outbreak</b>, <b>School</b> days, Spraying investigation","At this time, based on the information provided by Blackbaud Inc., the third-party vendor used by all four of the <b>university</b> foundations ... tested positive for <b>COVID-19</b> as of late last week.",https://www.inforum.com/news/6645777-5-things-to-know-today-Oil-regulations-Alumni-security-COVID-19-outbreak-School-days-Spraying-investigation,2020-09-03T12:25:00.0000000Z
67,<b>COVID 19</b>: Broadmoor Hotel Now an <b>Outbreak</b>,"The Colorado Department of Public Health and Environment considers an entity an <b>outbreak</b> after two or more <b>COVID-19</b> cases among residents ... Bear Creek Elementary <b>School</b>, Active, <b>School</b>, K ...",https://www.westword.com/news/covid-19-colorado-broadmoor-outbreak-update-11788403,2020-09-03T06:28:00.0000000Z
68,Latest <b>outbreaks</b> show Europe is struggling with <b>COVID-19</b> as much as the US,Parts of Europe are seeing renewed <b>COVID-19</b> <b>outbreaks</b> ... of the Global Health Initiative at the Mailman <b>School</b> of Public Health at Columbia <b>University</b>. France is near its worst <b>outbreak</b> yet ...,https://www.washingtonexaminer.com/news/latest-outbreaks-show-europe-is-struggling-with-covid-19-as-much-as-the-us,2020-09-04T11:21:00.0000000Z
